Timestamp,Team Name (Must be the same as the NUEL website),Deck 1 Pilot IGN,Deck 1 List,Deck 2 Pilot IGN,Deck 2 List,Deck 3 Pilot IGN,Deck 3 List
2/29/2020 17:14:43,test,test,test,test,test,test,test
2/29/2020 20:56:28,SecondPickBear,Ninassin#49901,"Deck
2 Tymaret, Chosen from Death (THB) 119
3 Ayara, First of Locthwain (ELD) 75
21 Swamp (ELD) 261
4 Yarok's Fenlurker (M20) 123
4 Castle Locthwain (ELD) 241
3 Murderous Rider (ELD) 97
4 Nightmare Shepherd (THB) 108
2 Drag to the Underworld (THB) 89
4 Gray Merchant of Asphodel (THB) 99
1 Bolas's Citadel (WAR) 79
4 Witch's Oven (ELD) 237
4 Cauldron Familiar (ELD) 81
2 Deathless Knight (ELD) 208
2 Midnight Reaper (GRN) 77

Sideboard
4 Duress (M19) 94
4 Noxious Grasp (M20) 110
2 Epic Downfall (ELD) 85
2 Pharika's Libation (THB) 111
1 Liliana, Dreadhorde General (WAR) 97
2 Tymaret, Chosen from Death (THB) 119
",Taka43#76082,"Deck
4 Teferi, Time Raveler (WAR) 221
1 Ashiok, Nightmare Muse (THB) 208
4 Golden Egg (ELD) 220
2 Thought Erasure (GRN) 206
3 Shatter the Sky (THB) 37
3 Dance of the Manse (ELD) 186
3 Banishing Light (THB) 4
4 Doom Foretold (ELD) 187
4 Omen of the Sea (THB) 58
3 Treacherous Blessing (THB) 117
4 Oath of Kaya (WAR) 209
1 Castle Ardenvale (ELD) 238
1 Castle Vantress (ELD) 242
4 Godless Shrine (RNA) 248
4 Hallowed Fountain (RNA) 251
1 Island (ANA) 57
3 Plains (ANA) 56
1 Swamp (ANA) 58
2 Temple of Deceit (THB) 245
2 Temple of Silence (M20) 256
2 Temple of Enlightenment (THB) 246
4 Watery Grave (GRN) 259

Sideboard
2 Cry of the Carnarium (RNA) 70
2 Devout Decree (M20) 13
3 Dovin's Veto (WAR) 193
2 Elspeth's Nightmare (THB) 91
2 Agonising remorse (THB) 83
2 Thought Erasure (GRN) 206
2 Absorb (RNA) 151
",GreyClatter#13422   ,"Deck
3 Scorch Spitter (M20) 159
9 Forest (THB) 287
3 Return to Nature (ELD) 173
4 Gruul Spellbreaker (RNA) 179
9 Mountain (THB) 285
3 Incubation Druid (RNA) 131
3 Pelt Collector (GRN) 141
3 Questing Beast (ELD) 171
3 Domri, Anarch of Bolas (WAR) 191
2 Stomping Ground (RNA) 259
3 Klothys, God of Destiny (THB) 220
4 Rhythm of the Wild (RNA) 201
4 Domri's Ambush (WAR) 192
4 Fabled Passage (ELD) 244
3 Torbran, Thane of Red Fell (ELD) 147

Sideboard
2 Fry (M20) 140
3 Shifting Ceratops (M20) 194
3 Thrashing Brontodon (M20) 197
4 Sunder Shaman (RNA) 210
3 Cindervines (RNA) 161
"
2/29/2020 23:18:32,Greenwich Royals,Modarr#43299,"Deck
3 Gadwick, the Wizened (ELD) 48
9 Island (ELD) 257
4 Bonecrusher Giant (ELD) 115
4 Mountain (ELD) 265
4 Brazen Borrower (ELD) 39
4 Brineborn Cutthroat (M20) 50
2 Essence Capture (RNA) 37
2 Spectral Sailor (M20) 76
2 Negate (RIX) 44
1 Ionize (GRN) 179
3 Quench (RNA) 48
2 Verity Circle (RNA) 58
3 Ral's Outburst (WAR) 212
3 Opt (ELD) 59
4 Steam Vents (GRN) 257
1 Temple of Epiphany (M20) 253
4 Fabled Passage (ELD) 244
2 Castle Vantress (ELD) 242
3 Sinister Sabotage (GRN) 54

Sideboard
1 Jace, Wielder of Mysteries (WAR) 54
2 Chandra, Awakened Inferno (M20) 127
2 Sorcerous Spyglass (ELD) 233
3 Aether Gust (M20) 42
2 Tale's End (M20) 77
3 Grafdigger's Cage (M20) 227
1 Meteor Golem (M19) 241
1 Commence the Endgame (WAR) 45
",Scaredy Kat#95812,"Deck
1 Erebos, Bleak-Hearted (THB) 93
24 Swamp (THB) 283
1 Finale of Eternity (WAR) 91
4 Knight of the Ebon Legion (M20) 105
2 Child of Night (GRN) 65
4 Cauldron Familiar (ELD) 81
4 Witch's Oven (ELD) 237
4 Vampire of the Dire Moon (M20) 120
2 Vindictive Vampire (RNA) 90
1 Bankrupt in Blood (RNA) 62
1 Lazotep Reaver (WAR) 96
3 Bloodthirsty Aerialist (M20) 91
1 Bolas's Citadel (WAR) 79
3 Murder (M20) 109
2 Thirsting Bloodlord (M20) 293
3 Sorin's Thirst (M20) 325",Tech#96284,"Deck
4 All That Glitters (ELD) 2
16 Plains (ELD) 250
4 Gingerbrute (ELD) 219
4 Prison Realm (WAR) 26
4 Locthwain Gargoyle (ELD) 225
2 Gideon Blackblade (WAR) 13
4 Fortifying Provisions (ELD) 13
2 Salvager of Ruin (M20) 237
4 Steel Overseer (M20) 239
4 Crashing Drawbridge (ELD) 217
4 Flutterfox (ELD) 12
4 Idyllic Grange (ELD) 246
4 Trapped in the Tower (ELD) 33

Sideboard
3 Take Vengeance (M19) 40
1 Pacifism (M20) 32"
3/1/2020 15:08:12,FieldsBadMan,Cardinal#52203,"4 Anax, Hardened in the Forge (THB) 125
4 Bonecrusher Giant (ELD) 115
4 Castle Embereth (ELD) 239
3 Embercleave (ELD) 120
4 Fervent Champion (ELD) 124
4 Light Up the Stage (RNA) 107
18 Mountain (ANA) 64
4 Rimrock Knight (ELD) 137
4 Robber of the Rich (ELD) 138
4 Runaway Steam-Kin (GRN) 115
4 Scorch Spitter (M20) 159
3 Torbran, Thane of Red Fell (ELD) 147

2 Chandra, Acolyte of Flame (M20) 126
1 Experimental Frenzy (GRN) 99
4 Lava Coil (GRN) 108
3 Redcap Melee (ELD) 135
1 Tibalt, Rakish Instigator (WAR) 146
4 Unchained Berserker (M20) 164",ThunderShock68#74203,"Deck
2 Hydroid Krasis (RNA) 183
4 Brazen Borrower (ELD) 39
3 Uro, Titan of Nature's Wrath (THB) 229
4 Storm's Wrath (THB) 157
4 Expansion // Explosion (GRN) 224
4 Growth Spiral (RNA) 178
4 Thassa's Intervention (THB) 72
4 Opt (XLN) 65
4 Wilderness Reclamation (RNA) 149
4 Breeding Pool (RNA) 246
2 Castle Vantress (ELD) 242
2 Fabled Passage (ELD) 244
2 Forest (ELD) 266
2 Island (ELD) 254
1 Mountain (ELD) 262
4 Steam Vents (GRN) 257
4 Stomping Ground (RNA) 259
1 Temple of Abandon (THB) 244
3 Temple of Epiphany (M20) 253
2 Temple of Mystery (M20) 255

Sideboard
2 Hydroid Krasis (RNA) 183
2 Aether Gust (M20) 42
2 Fry (M20) 140
3 Scorching Dragonfire (ELD) 139
2 Flame Sweep (M20) 139
4 Negate (RIX) 44ThunderShock68#74203",Jlobblet#96974,"Deck
2 Narset, Parter of Veils (WAR) 61
4 Teferi, Time Raveler (WAR) 221
1 Archon of Sun's Grace (THB) 3
2 Dream Trawler (THB) 214
4 Shatter the Sky (THB) 37
4 Absorb (RNA) 151
2 Dovin's Veto (WAR) 193
3 Thirst for Meaning (THB) 74
2 Banishing Light (THB) 4
3 Elspeth Conquers Death (THB) 13
4 Omen of the Sea (THB) 58
4 The Birth of Meletis (THB) 5
3 Castle Ardenvale (ELD) 238
1 Field of Ruin (THB) 242
4 Hallowed Fountain (RNA) 251
4 Plains (THB) 250
9 Island (THB) 251
4 Temple of Enlightenment (THB) 246

Sideboard
1 Archon of Sun's Grace (THB) 3
1 Dovin's Veto (WAR) 193
4 Mystical Dispute (ELD) 58
4 Cerulean Drake (M20) 53
1 Commence the Endgame (WAR) 45
1 Elspeth, Sun's Nemesis (THB) 14
2 Glass Casket (ELD) 15
1 Heliod's Intervention (THB) 19
"
3/1/2020 16:23:53,Geists of St Andrews,MessedThoughts#85415,"Deck
4 Teferi, Time Raveler (WAR) 221
8 Island (THB) 251
4 Elspeth Conquers Death (THB) 13
4 Shatter the Sky (THB) 37
4 Absorb (RNA) 151
1 Field of Ruin (THB) 242
2 Dovin's Veto (WAR) 193
2 Dream Trawler (THB) 214
4 Temple of Enlightenment (THB) 246
4 Hallowed Fountain (RNA) 251
4 Castle Ardenvale (ELD) 238
2 Narset, Parter of Veils (WAR) 61
4 Omen of the Sea (THB) 58
2 Banishing Light (THB) 4
3 The Birth of Meletis (THB) 5
4 Plains (THB) 250
1 Archon of Sun's Grace (THB) 3
2 Thirst for Meaning (THB) 74
1 Elspeth, Sun's Nemesis (THB) 14

Sideboard
4 Aether Gust (M20) 42
1 Narset, Parter of Veils (WAR) 61
1 Dawn of Hope (GRN) 8
2 Cerulean Drake (M20) 53
3 Devout Decree (M20) 13
2 Archon of Sun's Grace (THB) 3
1 Heliod's Intervention (THB) 19
1 Dovin's Veto (WAR) 193
",robson#35944,"4 Brazen Borrower (ELD) 39
2 Hydroid Krasis (RNA) 183
3 Uro, Titan of Nature's Wrath (THB) 229
2 Forest (ELD) 266
2 Island (ELD) 254
2 Mountain (ELD) 262
4 Breeding Pool (RNA) 246
2 Fabled Passage (ELD) 244
2 Castle Vantress (ELD) 242
4 Steam Vents (GRN) 257
4 Stomping Ground (RNA) 259
2 Temple of Abandon (THB) 244
2 Temple of Epiphany (M20) 253
2 Temple of Mystery (M20) 255
1 Legion Warboss (GRN) 109
4 Wilderness Reclamation (RNA) 149
4 Expansion // Explosion (GRN) 224
4 Growth Spiral (RNA) 178
2 Opt (XLN) 65
1 Scorching Dragonfire (ELD) 139
4 Thassa's Intervention (THB) 72
3 Storm's Wrath (THB) 157

Sideboard
2 Nightpack Ambusher (M20) 185
1 Storm's Wrath (THB) 157
1 Fry (M20) 140
2 Chandra's Pyrohelix (WAR) 120
2 Negate (RIX) 44
2 Mystical Dispute (ELD) 58
2 Return to Nature (WAR) 175
1 Scorching Dragonfire (ELD) 139
1 Niv-Mizzet, Parun (GRN) 192
1 Chandra, Awakened Inferno (M20) 127",Yatsu#36935,"Deck
4 Bonecrusher Giant (ELD) 115
18 Mountain (THB) 253
4 Fervent Champion (ELD) 124
4 Rimrock Knight (ELD) 137
4 Runaway Steam-Kin (GRN) 115
4 Scorch Spitter (M20) 159
3 Torbran, Thane of Red Fell (ELD) 147
4 Anax, Hardened in the Forge (THB) 125
3 Castle Embereth (ELD) 239
4 Robber of the Rich (ELD) 138
4 Embercleave (ELD) 120
4 Light Up the Stage (RNA) 107

Sideboard
4 Unchained Berserker (M20) 164
1 Experimental Frenzy (GRN) 99
1 Tibalt, Rakish Instigator (WAR) 146
4 Lava Coil (GRN) 108
3 Redcap Melee (ELD) 135
2 Chandra, Acolyte of Flame (M20) 126"
3/1/2020 16:24:30,Jundee,Dryden#89114 ,"Deck
4 Teferi, Time Raveler (WAR) 221
5 Plains (ELD) 250
2 Mystical Dispute (ELD) 58
3 Elspeth Conquers Death (THB) 13
3 Shatter the Sky (THB) 37
4 Absorb (RNA) 151
3 Thirst for Meaning (THB) 74
1 Field of Ruin (XLN) 254
3 Dovin's Veto (WAR) 193
1 Dream Trawler (THB) 214
4 Temple of Enlightenment (THB) 246
4 Hallowed Fountain (RNA) 251
3 Castle Ardenvale (ELD) 238
2 Narset, Parter of Veils (WAR) 61
4 Omen of the Sea (THB) 58
2 Banishing Light (THB) 4
3 The Birth of Meletis (THB) 5
1 Archon of Sun's Grace (THB) 3
8 Island (ELD) 254

Sideboard
1 Glass Casket (ELD) 15
2 Archon of Sun's Grace (THB) 3
4 Aether Gust (M20) 42
1 Dovin's Veto (WAR) 193
2 Mystical Dispute (ELD) 58
1 Narset, Parter of Veils (WAR) 61
1 Elspeth, Sun's Nemesis (THB) 14
2 Cerulean Drake (M20) 53
1 Heliod's Intervention (THB) 19", cbir#44508 ,"Deck
5 Forest (ELD) 266
1 Mountain (ELD) 262
3 Swamp (ELD) 258
4 Gilded Goose (ELD) 160
4 Cauldron Familiar (ELD) 81
4 Witch's Oven (ELD) 237
2 Wicked Wolf (ELD) 181
2 Casualties of War (WAR) 187
3 Agonizing Remorse (THB) 83
3 Korvold, Fae-Cursed King (ELD) 329
1 Massacre Girl (WAR) 99
4 Trail of Crumbs (ELD) 179
4 Overgrown Tomb (GRN) 253
4 Stomping Ground (RNA) 259
4 Blood Crypt (RNA) 245
3 Fabled Passage (ELD) 244
1 Castle Locthwain (ELD) 241
4 Mayhem Devil (WAR) 204
2 Murderous Rider (ELD) 97
2 Woe Strider (THB) 123

Sideboard
2 Massacre Girl (WAR) 99
2 Epic Downfall (ELD) 85
1 Agonizing Remorse (THB) 83
3 Redcap Melee (ELD) 135
1 Klothys, God of Destiny (THB) 220
3 Noxious Grasp (M20) 110
1 Casualties of War (WAR) 187
2 Angrath's Rampage (WAR) 185", Rafflesia#77600 ,"Deck
4 Arboreal Grazer (WAR) 149
4 Paradise Druid (WAR) 171
4 Hydroid Krasis (RNA) 183
3 Uro, Titan of Nature's Wrath (THB) 229
1 Questing Beast (ELD) 171
1 Spark Double (WAR) 68
4 Cavalier of Thorns (M20) 167
1 End-Raze Forerunners (RNA) 124
4 Growth Spiral (RNA) 178
2 Finale of Devastation (WAR) 160
4 Nissa, Who Shakes the World (WAR) 169
10 Forest (ELD) 266
5 Island (ELD) 254
4 Breeding Pool (RNA) 246
4 Temple of Mystery (M20) 255
2 Castle Garenbrig (ELD) 240
2 Castle Vantress (ELD) 242
1 Blast Zone (WAR) 244

Sideboard
4 Shifting Ceratops (M20) 194
1 Negate (RIX) 44
2 Disdainful Stroke (GRN) 37
1 Once and Future (ELD) 168
3 Return to Nature (WAR) 175
1 Sorcerous Spyglass (XLN) 248
3 Voracious Hydra (M20) 200"
3/1/2020 16:32:33,Teesside's Finest,ApexSayers#33464,"Deck
4 Teferi, Time Raveler (WAR) 221
4 Plains (THB) 250
2 Mystical Dispute (ELD) 58
3 Elspeth Conquers Death (THB) 13
3 Shatter the Sky (THB) 37
4 Absorb (RNA) 151
3 Thirst for Meaning (THB) 74
1 Field of Ruin (THB) 242
3 Dovin's Veto (WAR) 193
1 Dream Trawler (THB) 214
4 Temple of Enlightenment (THB) 246
4 Hallowed Fountain (RNA) 251
1 Castle Vantress (ELD) 242
3 Castle Ardenvale (ELD) 238
2 Narset, Parter of Veils (WAR) 61
4 Omen of the Sea (THB) 58
2 Banishing Light (THB) 4
3 The Birth of Meletis (THB) 5
1 Archon of Sun's Grace (THB) 3
8 Island (THB) 251

Sideboard
1 Glass Casket (ELD) 15
2 Archon of Sun's Grace (THB) 3
4 Aether Gust (M20) 42
1 Dovin's Veto (WAR) 193
2 Mystical Dispute (ELD) 58
1 Narset, Parter of Veils (WAR) 61
2 Commence the Endgame (WAR) 45
2 Cerulean Drake (M20) 53",TableLeg23#72554,"Deck
4 Fervent Champion (ELD) 124
4 Scorch Spitter (M20) 159
4 Rimrock Knight (ELD) 137
4 Robber of the Rich (ELD) 138
4 Runaway Steam-Kin (GRN) 115
4 Bonecrusher Giant (ELD) 115
4 Anax, Hardened in the Forge (THB) 125
4 Light Up the Stage (RNA) 107
3 Torbran, Thane of Red Fell (ELD) 147
3 Embercleave (ELD) 120
4 Castle Embereth (ELD) 239
18 Mountain (ELD) 262

Sideboard
4 Lava Coil (GRN) 108
3 Redcap Melee (ELD) 135
4 Unchained Berserker (M20) 164
2 Chandra, Acolyte of Flame (M20) 126
1 Tibalt, Rakish Instigator (WAR) 146
1 Experimental Frenzy (GRN) 99
",Kvatt#65104,"1 Ashiok, Nightmare Muse (THB) 208
4 Breeding Pool (RNA) 246
2 Casualties of War (WAR) 187
4 Fabled Passage (ELD) 244
2 Forest (ELD) 266
4 Growth Spiral (RNA) 178
4 Hydroid Krasis (RNA) 183
2 Island (ELD) 254
2 Liliana, Dreadhorde General (WAR) 97
2 Nissa, Who Shakes the World (WAR) 169
4 Overgrown Tomb (GRN) 253
4 Paradise Druid (WAR) 171
2 Swamp (ELD) 258
1 Tamiyo, Collector of Tales (WAR) 220
2 Temple of Malady (M20) 254
3 Temple of Mystery (M20) 255
4 Thought Erasure (GRN) 206
2 Tyrant's Scorn (WAR) 225
4 Uro, Titan of Nature's Wrath (THB) 229
1 Vraska, Golgari Queen (GRN) 213
1 Vraska, Golgari Queen (GRN) GR8
4 Watery Grave (GRN) 259
1 Garruk, Cursed Huntsman (ELD) 191

Sideboard
2 Agonizing Remorse (THB) 83
1 Casualties of War (WAR) 187
2 Lovestruck Beast (ELD) 165
2 Thief of Sanity (GRN) 205
2 Noxious Grasp (M20) 110
2 Ritual of Soot (GRN) 84
4 Unmoored Ego (GRN) 212"
3/1/2020 16:37:15,Leicester Golden-Tails,fish.#23042 ,"Deck
2 Dream Trawler (THB) 214
2 Narset, Parter of Veils (WAR) 61
4 Teferi, Time Raveler (WAR) 221
3 Dovin's Veto (WAR) 193
4 Absorb (RNA) 151
1 Mystical Dispute (ELD) 58
3 Thirst for Meaning (THB) 74
3 Shatter the Sky (THB) 37
4 Omen of the Sea (THB) 58
3 The Birth of Meletis (THB) 5
2 Banishing Light (THB) 4
4 Elspeth Conquers Death (THB) 13
3 Castle Ardenvale (ELD) 238
1 Castle Vantress (ELD) 242
1 Field of Ruin (XLN) 254
4 Hallowed Fountain (RNA) 251
4 Temple of Enlightenment (THB) 246
8 Island (THB) 251
4 Plains (THB) 250

Sideboard
2 Spectral Sailor (M20) 76
4 Aether Gust (M20) 42
2 Cerulean Drake (M20) 53
1 Dovin's Veto (WAR) 193
1 Heliod's Intervention (THB) 19
3 Mystical Dispute (ELD) 58
1 Narset, Parter of Veils (WAR) 61
1 Dream Trawler (THB) 214",Acelgof#96481 ,"Deck
4 Temple Garden (GRN) 258
8 Forest (ELD) 266
9 Plains (ELD) 250
3 Conclave Tribunal (GRN) 6
4 Flower // Flourish (GRN) 226
4 Venerated Loxodon (GRN) 30
4 Faerie Guidemother (ELD) 11
2 Flaxen Intruder (ELD) 155
2 Shepherd of the Flock (ELD) 28
4 Edgewall Innkeeper (ELD) 151
1 March of the Multitudes (GRN) 188
2 Gideon Blackblade (WAR) 13
2 Giant Killer (ELD) 14
4 Lovestruck Beast (ELD) 165
4 Questing Beast (ELD) 171
2 The Great Henge (ELD) 161
1 Nylea, Keen-Eyed (THB) 185

Sideboard
4 Knight of Autumn (GRN) 183
2 Giant Killer (ELD) 14
3 Devout Decree (M20) 13
2 Unbreakable Formation (RNA) 29
2 March of the Multitudes (GRN) 188
2 Glass Casket (ELD) 15",Chedi#96239 ,"Deck
4 Alseid of Life's Bounty (THB) 1
5 Forest (THB) 254
4 Sentinel's Eyes (THB) 36
4 All That Glitters (ELD) 2
2 Transcendent Envoy (THB) 40
4 Warbriar Blessing (THB) 204
5 Plains (THB) 279
4 Setessan Champion (THB) 198
4 Karametra's Blessing (THB) 26
4 Season of Growth (M20) 191
4 Paradise Druid (WAR) 171
4 Setessan Training (THB) 201
2 Temple of Plenty (THB) 248
4 Blossoming Sands (M20) 243
2 Starfield Mystic (M20) 39
4 Fabled Passage (ELD) 244

Sideboard
3 Destiny Spinner (THB) 168
3 Return to Nature (ELD) 173
2 Once and Future (ELD) 168
2 Prison Realm (WAR) 26
3 Hushbringer (ELD) 18
2 Pacifism (M20) 32"
3/1/2020 16:52:59,UEA Wizards,jess_camp#25100,"Deck
3 Dream Trawler (THB) 214
4 Absorb (RNA) 151
2 Castle Ardenvale (ELD) 238
3 Castle Vantress (ELD) 242
2 Temple of Enlightenment (THB) 246
2 Hallowed Fountain (RNA) 251
8 Plains (ELD) 250
8 Island (ELD) 254
4 Teferi, Time Raveler (WAR) 221
1 Time Wipe (WAR) 223
2 Glass Casket (ELD) 15
4 The Birth of Meletis (THB) 5
3 Omen of the Sea (THB) 58
4 Narset, Parter of Veils (WAR) 61
4 Shatter the Sky (THB) 37
4 Elspeth Conquers Death (THB) 13
1 Dovin's Veto (WAR) 193
1 Archon of Sun's Grace (THB) 3

Sideboard
1 Commence the Endgame (WAR) 45
4 Mystical Dispute (ELD) 58
2 Cerulean Drake (M20) 53
2 Dovin's Veto (WAR) 193
4 Devout Decree (M20) 13
1 Banishing Light (THB) 4
1 Heliod's Intervention (THB) 19",TheChristorian#55706,"4 Beanstalk Giant (ELD) 149
4 Bonecrusher Giant (ELD) 115
4 Brazen Borrower (ELD) 39
4 Edgewall Innkeeper (ELD) 151
4 Fae of Wishes (ELD) 44
4 Lovestruck Beast (ELD) 165
3 Escape to the Wilds (ELD) 189
1 Incubation // Incongruity (RNA) 226
4 Lucky Clover (ELD) 226
1 The Great Henge (ELD) 161
4 Breeding Pool (RNA) 246
6 Forest (ELD) 266
4 Island (ELD) 254
2 Mountain (ELD) 262
3 Steam Vents (GRN) 257
4 Stomping Ground (RNA) 259
1 Temple of Epiphany (M20) 253
3 Temple of Mystery (M20) 255

Sideboard
2 Aether Gust (M20) 42
1 Chandra, Awakened Inferno (M20) 127
1 Domri's Ambush (WAR) 192
1 Fling (ELD) 126
1 Mystic Repeal (THB) 180
1 Negate (M20) 69
1 Escape to the Wilds (ELD) 189
1 Once and Future (ELD) 168
1 Mass Manipulation (RNA) 42
1 Return to Nature (WAR) 175
1 Shadowspear (THB) 236
1 Sorcerous Spyglass (ELD) 233
1 Storm's Wrath (THB) 157
1 Scorching Dragonfire (ELD) 139", TakeFiveUEA#81914,"Deck
4 Runaway Steam-Kin (GRN) 115
4 Light Up the Stage (RNA) 107
4 Scorch Spitter (M20) 159
4 Robber of the Rich (ELD) 138
4 Embercleave (ELD) 120
4 Fervent Champion (ELD) 124
4 Rimrock Knight (ELD) 137
4 Torbran, Thane of Red Fell (ELD) 147
4 Castle Embereth (ELD) 239
4 Anax, Hardened in the Forge (THB) 125
16 Mountain (THB) 253
4 Shock (M20) 160

Sideboard
1 Experimental Frenzy (GRN) 99
4 Lava Coil (GRN) 108
2 Chandra, Acolyte of Flame (M20) 126
4 Unchained Berserker (M20) 164
3 Redcap Melee (ELD) 135
1 Tibalt, Rakish Instigator (WAR) 146"
